StudentID,Model,RMSE,MAE
1,Naive,0.7149203529842405,0.5111111111111111
1,ARIMA,0.6648446513289715,0.531434148168541
1,LSTM,0.6338099979617461,0.5632734828525119
2,Naive,1.5986105077709065,1.3333333333333333
2,ARIMA,0.892389165458066,0.7594215828562889
2,LSTM,1.2231180966492383,0.9924085140228271
3,Naive,1.2909944487358056,0.8888888888888888
3,ARIMA,1.2877155222824868,0.8895492921941032
3,LSTM,1.0523647825567803,0.9309413486056858
4,Naive,0.8232726023485646,0.5888888888888889
4,ARIMA,0.7922744514048106,0.6445481072951375
4,LSTM,0.7948432344152231,0.627582491768731
5,Naive,1.398411797560202,1.0222222222222221
5,ARIMA,1.5004482235673846,1.158015483179928
5,LSTM,1.1359014463271015,0.9404486099878947
6,Naive,1.0110500592068734,0.6888888888888889
6,ARIMA,0.9350679296095199,0.8051302621868531
6,LSTM,0.9361131165427097,0.7954505072699652
7,Naive,1.0381607668264958,0.6555555555555556
7,ARIMA,0.9873582792360608,0.71434168620584
7,LSTM,0.9581721126624205,0.8077428155475193
8,Naive,1.4452988925785866,1.0666666666666667
8,ARIMA,0.9928701691772462,0.837035060304826
8,LSTM,0.9969354385890339,0.7794620672861735
9,Naive,1.247219128924647,1.0666666666666667
9,ARIMA,0.6232416883652067,0.4676632559473387
9,LSTM,0.6249271397593665,0.46760261323716906
10,Naive,1.7126976771553504,1.4222222222222223
10,ARIMA,0.9680769614444203,0.8475187695911958
10,LSTM,0.9788935422242991,0.8607062843110826
